,order_date,demand
433,2017-11-22,190.0
434,2017-11-23,268.0
435,2017-11-24,1147.0
436,2017-11-25,487.0
437,2017-11-26,382.0
438,2017-11-27,395.0
439,2017-11-28,372.0
440,2017-11-29,314.0
441,2017-11-30,260.0
442,2017-12-01,267.0
443,2017-12-02,212.0
444,2017-12-03,227.0
445,2017-12-04,322.0
446,2017-12-05,269.0
447,2017-12-06,269.0
448,2017-12-07,223.0
449,2017-12-08,210.0
450,2017-12-09,154.0
451,2017-12-10,184.0
452,2017-12-11,262.0
453,2017-12-12,251.0
454,2017-12-13,215.0
455,2017-12-14,195.0
456,2017-12-15,185.0
457,2017-12-16,129.0
458,2017-12-17,130.0
459,2017-12-18,205.0
460,2017-12-19,173.0
461,2017-12-20,168.0
462,2017-12-21,140.0
463,2017-12-22,108.0
464,2017-12-23,101.0
465,2017-12-24,57.0
466,2017-12-25,86.0
467,2017-12-26,165.0
468,2017-12-27,164.0
469,2017-12-28,143.0
470,2017-12-29,132.0
471,2017-12-30,96.0
472,2017-12-31,71.0
473,2018-01-01,72.0
474,2018-01-02,200.0
475,2018-01-03,219.0
476,2018-01-04,248.0
477,2018-01-05,197.0
478,2018-01-06,213.0
479,2018-01-07,192.0
480,2018-01-08,287.0
481,2018-01-09,246.0
482,2018-01-10,271.0
483,2018-01-11,260.0
484,2018-01-12,234.0
485,2018-01-13,211.0
486,2018-01-14,229.0
487,2018-01-15,300.0
488,2018-01-16,296.0
489,2018-01-17,277.0
490,2018-01-18,236.0
491,2018-01-19,225.0
492,2018-01-20,182.0
493,2018-01-21,188.0
494,2018-01-22,305.0
495,2018-01-23,256.0
496,2018-01-24,236.0
497,2018-01-25,226.0
498,2018-01-26,223.0
499,2018-01-27,150.0
500,2018-01-28,149.0
501,2018-01-29,242.0
502,2018-01-30,248.0
503,2018-01-31,251.0
504,2018-02-01,227.0
505,2018-02-02,207.0
506,2018-02-03,189.0
507,2018-02-04,197.0
508,2018-02-05,265.0
509,2018-02-06,262.0
510,2018-02-07,242.0
511,2018-02-08,225.0
512,2018-02-09,208.0
513,2018-02-10,174.0
514,2018-02-11,165.0
515,2018-02-12,214.0
516,2018-02-13,217.0
517,2018-02-14,287.0
518,2018-02-15,270.0
519,2018-02-16,210.0
520,2018-02-17,198.0
521,2018-02-18,199.0
522,2018-02-19,251.0
523,2018-02-20,283.0
524,2018-02-21,260.0
525,2018-02-22,268.0
526,2018-02-23,232.0
527,2018-02-24,188.0
528,2018-02-25,231.0
529,2018-02-26,290.0
530,2018-02-27,293.0
531,2018-02-28,303.0
532,2018-03-01,268.0
533,2018-03-02,262.0
534,2018-03-03,205.0
535,2018-03-04,228.0
536,2018-03-05,252.0
537,2018-03-06,268.0
538,2018-03-07,254.0
539,2018-03-08,227.0
540,2018-03-09,197.0
541,2018-03-10,185.0
542,2018-03-11,215.0
543,2018-03-12,228.0
544,2018-03-13,217.0
545,2018-03-14,195.0
546,2018-03-15,272.0
547,2018-03-16,242.0
548,2018-03-17,176.0
549,2018-03-18,211.0
550,2018-03-19,293.0
551,2018-03-20,292.0
552,2018-03-21,277.0
553,2018-03-22,249.0
554,2018-03-23,209.0
555,2018-03-24,163.0
556,2018-03-25,188.0
557,2018-03-26,266.0
558,2018-03-27,239.0
559,2018-03-28,210.0
560,2018-03-29,188.0
561,2018-03-30,163.0
562,2018-03-31,164.0
563,2018-04-01,201.0
564,2018-04-02,274.0
565,2018-04-03,243.0
566,2018-04-04,252.0
567,2018-04-05,261.0
568,2018-04-06,181.0
569,2018-04-07,161.0
570,2018-04-08,183.0
571,2018-04-09,250.0
572,2018-04-10,196.0
573,2018-04-11,262.0
574,2018-04-12,253.0
575,2018-04-13,197.0
576,2018-04-14,145.0
577,2018-04-15,219.0
578,2018-04-16,276.0
579,2018-04-17,258.0
580,2018-04-18,271.0
581,2018-04-19,287.0
582,2018-04-20,192.0
583,2018-04-21,154.0
584,2018-04-22,199.0
585,2018-04-23,283.0
586,2018-04-24,265.0
587,2018-04-25,279.0
588,2018-04-26,250.0
589,2018-04-27,237.0
590,2018-04-28,166.0
591,2018-04-29,168.0
592,2018-04-30,235.0
593,2018-05-01,252.0
594,2018-05-02,287.0
595,2018-05-03,300.0
596,2018-05-04,262.0
597,2018-05-05,192.0
598,2018-05-06,206.0
599,2018-05-07,363.0
600,2018-05-08,323.0
